Predictions,Ground Truth
Android,Android
Windows,Windows
iOS,Mac OS
Windows,Windows
Android,Android
Android,Android
Windows,Windows
Android,Android
Android,Android
Mac OS,Mac OS
Windows,Windows
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Mac OS,Mac OS
Android,Android
Android,Android
iOS,Mac OS
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Mac OS,Mac OS
Mac OS,Mac OS
Android,iOS
Android,Android
Android,Android
Android,Android
Windows,Windows
Mac OS,Mac OS
Android,Android
Windows,Windows
Android,Android
iOS,iOS
Windows,Windows
Android,Android
Windows,Windows
Android,Android
Android,Android
Windows Phone,Windows Phone
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Windows
Mac OS,Mac OS
Android,Android
Windows,Windows
Windows,Windows
iOS,Mac OS
Android,Android
iOS,iOS
Windows,Windows
Android,Android
iOS,Mac OS
Windows,Windows
iOS,iOS
Mac OS,Mac OS
Mac OS,Mac OS
iOS,iOS
iOS,Mac OS
Mac OS,Mac OS
Windows Phone,Windows
Android,Android
iOS,Mac OS
Android,Android
Android,Android
Windows Phone,Windows Phone
Android,Android
iOS,Mac OS
iOS,iOS
Android,Android
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Windows,Windows
Android,Android
Windows,Windows
Android,Android
Mac OS,Mac OS
iOS,iOS
iOS,iOS
Mac OS,Mac OS
iOS,iOS
Android,Android
Windows,Windows
Android,Android
Android,Android
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Android,Android
Android,Android
Windows,Windows
Android,Android
Windows,Windows
Windows Phone,Windows Phone
Windows Phone,Windows Phone
Windows Phone,Windows Phone
Windows,Windows
Android,Android
Android,Android
Android,Android
Android,Android
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Android,Android
Android,Android
Android,Android
Android,Android
iOS,iOS
Mac OS,Mac OS
Android,Android
Windows,Windows
Mac OS,Mac OS
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
Android,Android
Windows,Windows
iOS,Mac OS
Android,Android
Android,Android
Windows,Windows
Windows,Windows
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Mac OS,Mac OS
Mac OS,Mac OS
Android,Android
iOS,Android
Mac OS,Mac OS
Windows,Windows
Mac OS,Mac OS
Android,Android
Android,Android
Windows,Windows
Android,Android
Android,Android
Mac OS,Mac OS
Android,Android
Windows,Windows
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Windows
Android,iOS
Android,Android
Android,Android
Android,Android
Android,Android
Android,Android
Windows,Windows
Windows,Windows
Windows,Windows
Android,Android
Android,Android
Mac OS,Mac OS
Android,Android
Windows,Windows
Android,Android
Android,iOS
Android,Android
Windows,Windows
Mac OS,Mac OS
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Android,Android
Mac OS,Mac OS
iOS,iOS
Mac OS,Mac OS
Windows,Windows
Mac OS,Mac OS
Windows,Windows Phone
Windows,Windows
Android,Android
Mac OS,Mac OS
Android,Android
Windows,Windows
Windows,Windows
Android,Android
Mac OS,Mac OS
Android,Android
Android,Android
Windows Phone,Windows Phone
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Mac OS,Mac OS
Windows Phone,Windows Phone
Windows Phone,Windows Phone
Android,Android
Windows,Windows
Windows Phone,Windows Phone
Windows,Windows
Mac OS,Android
Android,Android
Mac OS,Mac OS
Windows,Windows
Android,Android
Android,Android
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Windows
Android,Android
Windows,Android
Mac OS,Mac OS
iOS,iOS
Windows,Windows
Mac OS,Mac OS
Windows,Windows
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Android,Android
Windows,Windows
Windows,Windows
Android,Android
Android,Android
Windows,Windows
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Windows
Android,Android
Windows,Windows
Android,Android
Android,Android
Android,Android
Android,iOS
Mac OS,Mac OS
Mac OS,Mac OS
iOS,iOS
iOS,Android
Windows Phone,Windows Phone
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Windows Phone,Windows Phone
Mac OS,Mac OS
Android,Android
Windows,Windows
Android,Android
Windows Phone,Windows Phone
Android,Android
Android,Android
Windows Phone,Windows Phone
Mac OS,Mac OS
iOS,Mac OS
Windows,Windows
Android,Android
Windows,Windows
Windows,Windows
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
Android,Android
Mac OS,Mac OS
Windows,Windows
Mac OS,Mac OS
Android,Android
Windows,Windows
Android,Android
Mac OS,Mac OS
Android,Android
Android,Android
Windows,Windows
Windows Phone,Windows
Android,Android
iOS,iOS
Android,Android
Windows,Windows Phone
Android,Windows
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Windows,Windows
Android,Android
Android,Android
Mac OS,Mac OS
Windows,Windows
iOS,iOS
Android,Android
iOS,iOS
iOS,Mac OS
Mac OS,Mac OS
iOS,Mac OS
Windows,Windows
Android,Android
iOS,iOS
Mac OS,Mac OS
Mac OS,Mac OS
Mac OS,Mac OS
Android,Android
Mac OS,Mac OS
Android,Android
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Mac OS,Mac OS
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Windows
Android,Android
Android,Android
Windows,Windows
Android,Android
Mac OS,Mac OS
Android,Android
Mac OS,iOS
Windows,Windows
iOS,Mac OS
Mac OS,Android
Windows,Windows
Android,Android
Windows,Windows
Android,Android
iOS,iOS
iOS,Mac OS
Mac OS,Mac OS
Android,Android
Windows,Windows
Mac OS,Mac OS
Mac OS,Mac OS
Mac OS,Mac OS
iOS,iOS
Windows,Windows
Mac OS,Mac OS
Windows,Windows
Mac OS,Mac OS
Windows,Windows
Android,Android
Android,Android
Windows,Windows
iOS,iOS
Android,Android
Android,iOS
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
iOS,Mac OS
Windows,Windows
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Windows
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
iOS,iOS
Android,Android
Windows,Windows
Mac OS,Mac OS
Android,Android
Windows,Windows
Windows,Windows
Android,Android
Android,Android
Android,Android
Android,Android
iOS,Mac OS
Android,Android
Windows,Windows
Android,Android
Android,Android
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
Mac OS,iOS
Windows,Windows
Windows,Windows
iOS,iOS
Android,iOS
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Windows,Windows
Android,Android
Windows Phone,Windows Phone
iOS,Mac OS
Windows Phone,Windows
Windows,Windows
Windows,Windows
Android,Android
Mac OS,Mac OS
Windows,Windows
Android,Android
Windows,Windows
Android,Android
Windows,Windows
Windows,Windows
Android,Android
iOS,Mac OS
Mac OS,Mac OS
Windows,Android
Android,Android
Mac OS,Mac OS
Windows Phone,Windows Phone
Mac OS,Mac OS
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Windows
Android,Android
Mac OS,Mac OS
Windows,Windows
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Windows
Mac OS,Mac OS
iOS,iOS
Windows,Windows
Windows,Windows
iOS,iOS
Windows,Windows
Android,Android
iOS,iOS
Android,Android
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
Android,Android
Windows Phone,Windows Phone
Windows,Windows
iOS,iOS
Android,Android
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Mac OS,Mac OS
Mac OS,Mac OS
Android,Android
Windows,Windows
Windows,Windows
Android,Android
Windows,Windows
iOS,iOS
Android,Android
Android,Android
Mac OS,Mac OS
Android,Android
iOS,Mac OS
Android,Android
Android,Android
Android,Android
Mac OS,Mac OS
Android,Android
Windows,Windows
Android,Android
Mac OS,iOS
Windows,Windows
Windows,Windows
Windows,Windows
Mac OS,Mac OS
Android,Android
Android,Android
Android,Android
Android,Android
Mac OS,Mac OS
Android,Android
iOS,iOS
Android,Android
Mac OS,Mac OS
Windows Phone,Windows
Windows,Windows
Android,Android
Windows,Windows
Android,Android
Android,Android
Android,Android
Windows,Windows
Mac OS,Mac OS
Android,iOS
iOS,iOS
Android,Android
Android,Android
Windows,Windows
Windows,Windows
Android,Android
Android,Android
Android,Android
Windows,Windows
Windows,Windows
Android,Android
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Android,Android
Mac OS,Mac OS
Android,Android
Windows,Windows
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Windows
Mac OS,Mac OS
Windows,Windows
iOS,Android
Android,Android
Windows,Windows
Mac OS,Mac OS
iOS,Mac OS
Android,Android
Android,Android
Windows,Windows
Windows,Windows
Mac OS,Mac OS
Windows,Windows
Android,Android
Windows,Windows
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Windows
Windows,Windows
iOS,iOS
Android,Android
Android,Android
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Mac OS,Mac OS
Android,Android
Mac OS,Mac OS
Android,Android
Windows,Windows
Mac OS,Mac OS
Windows Phone,Windows Phone
Android,Android
iOS,Mac OS
Android,Android
Android,Android
Windows,Windows
iOS,Mac OS
Windows,Windows
Mac OS,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Android,iOS
Windows,Windows
Android,iOS
iOS,Mac OS
Mac OS,Mac OS
Android,Android
Windows Phone,Windows Phone
Mac OS,iOS
Mac OS,Mac OS
Android,Android
Windows,Windows
iOS,Mac OS
Mac OS,iOS
Android,Android
Mac OS,Mac OS
Windows,Windows
Android,Android
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Mac OS,Mac OS
Android,Android
Windows,Windows
Mac OS,iOS
Windows,Windows
iOS,iOS
Windows,Windows
Android,Android
Mac OS,Mac OS
Android,Android
Windows,Windows
Mac OS,Mac OS
Windows,Windows
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Windows Phone
Windows,Windows
Android,Android
Android,Android
Android,Android
iOS,iOS
iOS,Mac OS
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Android,Android
Android,Windows
Mac OS,Mac OS
iOS,Mac OS
Windows,Windows
Android,Android
Windows,Windows
iOS,Mac OS
Mac OS,Mac OS
Mac OS,Mac OS
Android,Android
iOS,iOS
Android,Android
Windows,Windows
Windows,Mac OS
Windows,Windows
iOS,Mac OS
Windows,Windows
Windows,Windows
iOS,iOS
iOS,Mac OS
Windows,Windows
Android,Android
Mac OS,Mac OS
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
iOS,Mac OS
Android,Android
Windows,Windows
iOS,iOS
Android,Android
Android,Android
Android,Android
Android,Android
Android,Android
Windows,Windows
Android,Android
Android,Android
iOS,iOS
iOS,iOS
iOS,Android
Mac OS,Mac OS
iOS,Mac OS
Windows,Windows
Windows,Windows
Windows,Windows
Android,Android
Android,Android
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Android
iOS,iOS
Mac OS,Mac OS
Windows,Windows Phone
Mac OS,Mac OS
Android,Android
Windows,Windows
Android,Android
Windows,Windows
Android,Android
Mac OS,Mac OS
iOS,Mac OS
Android,Android
Windows,Windows
Android,Android
Mac OS,Mac OS
Windows,Windows
Android,Android
Mac OS,Mac OS
Windows,Windows
Mac OS,Mac OS
Android,Android
Android,Android
iOS,iOS
Windows Phone,Windows Phone
Android,Android
Android,Android
Android,Android
Windows,Windows
Windows,Windows
Android,Android
Windows,Windows
Android,Android
Windows,Windows Phone
Windows,Windows
Windows,Windows
Mac OS,iOS
Windows,Windows
Mac OS,Mac OS
Android,Android
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
Android,Android
Windows,Windows
Windows,Windows
Windows Phone,Windows Phone
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
Android,Android
Windows,Windows
Windows,Windows
Windows,Windows
Mac OS,Mac OS
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Windows,Windows
Windows,Windows
Mac OS,iOS
Windows,Windows
iOS,iOS
Mac OS,Mac OS
Mac OS,Mac OS
Android,Android
Windows Phone,Windows Phone
Windows,Windows
Mac OS,Mac OS
Android,Android
Mac OS,Mac OS
iOS,iOS
Windows,Windows
Android,Android
Android,Android
Android,Android
Android,Android
Windows,Windows
Windows,Windows
Windows,Windows
Android,Android
Windows,Windows
Mac OS,Mac OS
Android,Android
Windows,Windows
Android,Android
Windows,Windows
Mac OS,Mac OS
Android,Android
iOS,Mac OS
Windows,Windows
Windows Phone,Windows Phone
Android,Android
Android,Android
Windows,Windows
Mac OS,Mac OS
Windows Phone,Windows Phone
Windows,Windows
Windows,Windows
Android,Android
Android,Android
Android,Android
Android,Android
Mac OS,Mac OS
iOS,iOS
Mac OS,iOS
Windows,Windows
Android,Android
Android,Android
Windows,Windows
Android,Android
Android,Android
Android,Android
Windows,Windows
Windows,Windows
Windows,Windows
Mac OS,Mac OS
Windows,Windows
Android,Android
Windows,Windows
Windows,Windows
Android,Android
Android,Android
Mac OS,Mac OS
Windows,Windows
Windows,Windows
Android,Android
Windows,Windows
Windows,Windows
Windows Phone,Windows Phone
Windows,Windows
Android,Android
Android,Android
Android,Android
Windows,Windows
iOS,iOS
iOS,iOS
Android,Android
Android,Android
Android,Android
Windows,Windows
Mac OS,Mac OS
Android,Android
Mac OS,Mac OS
Android,Android
Windows,Windows
Android,Android
Windows,Windows
Android,Android
Android,Android
Mac OS,Mac OS
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
Android,iOS
Windows,Windows
Android,Android
Windows,Windows
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
Android,Android
Mac OS,Mac OS
Android,Android
Mac OS,Mac OS
Mac OS,Mac OS
Android,Android
Windows,Windows
Android,Android
iOS,iOS
Mac OS,iOS
Android,Android
Android,Android
Android,Android
Mac OS,Mac OS
Windows,Windows
